Date,House_Price_Index
Sep-03,61.2
Dec-03,66.5
Mar-04,68.7
Jun-04,71.8
Sep-04,72.3
Dec-04,74.6
Mar-05,75.8
Jun-05,76.9
Sep-05,76.7
Dec-05,79.1
Mar-06,81.0
Jun-06,83.4
Sep-06,84.6
Dec-06,86.1
Mar-07,88.5
Jun-07,89.6
Sep-07,92.3
Dec-07,96.0
Mar-08,93.9
Jun-08,95.2
Sep-08,93.3
Dec-08,93.9
Mar-09,93.4
Jun-09,96.4
Sep-09,98.6
Dec-09,104.2
Mar-10,105.9
Jun-10,103.6
Sep-10,103.5
Dec-10,106.6
Mar-11,105.9
Jun-11,102.9
Sep-11,100.6
Dec-11,101.9
Mar-12,99.4
Jun-12,98.2
Sep-12,98.1
Dec-12,98.4
Mar-13,100.0
Jun-13,100.0
Sep-13,101.0
Dec-13,103.3
Mar-14,103.7
Jun-14,104.1
Sep-14,104.4
Dec-14,105.2
Mar-15,105.7
Jun-15,105.7
Sep-15,106.2
Dec-15,108.9
Mar-16,110.1
Jun-16,110.9
Sep-16,113.4
Dec-16,118.5
Mar-17,122.5
Jun-17,124.7
Sep-17,129.0
Dec-17,134.0
Mar-18,139.8
Jun-18,144.0
Sep-18,145.8
Dec-18,146.8
Mar-19,146.2
Jun-19,146.9
Sep-19,148.8
Dec-19,152.8
Mar-20,156.5
Jun-20,155.8
Sep-20,157.7
Dec-20,162.6
